content,content_stem,score,target
Still waiting for my refund since 13 Jan 2023. Keep asking for information and then promise 7-14 days for refund. Process repeats but refund still not made to my acct.,still wait refund sinc jan keep ask inform promis day refund process repeat refund still made acct,1,1
"Poor company policy for return/refund. No option to return goods in case if you have changed your mind or due to late delivery issues. After raising refund request, dispute got closed without consulting with customer properly on issues. Switching back to another online shopping app/company. Thanks.",poor compani polici return refund option return good case chang mind due late deliveri issu rais refund request disput got close without consult custom properli issu switch back anoth onlin shop compani thank,1,1
"Started using Amazon and didn't went back, even AliExpress is better at this point. 1. Voucher is restricted to shopee pay only, forces you to top up your shopee wallet which is so stupid. Some vouchers can't be applied for certain shops, it only tells you that it isn't supported after you try checking out even if you top up the wallet 2. Shopee pay later is a scam, hidden $1 charge everytime you payback. Didn't know since it was implemented until recently.. Honestly just don't use this.",start use amazon went back even aliexpress better point voucher restrict pay forc top wallet stupid voucher appli certain shop tell support tri check even top wallet pay later scam hidden charg everytim payback know sinc implement recent honestli use,1,1
"Very bad.If you order something here, it takes a long time to deliver. Again, your item has been delivered without proper delivery. If you want to return the money, you have to wait again for 10 days.Again, they earn that money by investing in other fields. Fraud is their main target without giving products with customers' money .",order someth take long time deliv deliv without proper deliveri want return money wait day earn money invest field fraud main target without give product custom money,1,1
Pretty good experience shopping with shoppee. They will auto refund in the system when goods took too long to ship. I did not need to negotiate with the seller. They also pro actively provide small value voucher since I did not manage to receive one of my goods ordered. Overall pricing is pretty competitive with shoppee. App also working well. Very convenient way of online shopping. Will recommend for the good experience so far!,pretti good experi shop auto refund system good took long ship need negoti also pro activ provid small valu voucher sinc manag receiv one good order overal price pretti competit also work well conveni way onlin shop recommend good experi far,5,0
Many items have lower price than other platforms. Allow me to easily do top ups any time of any amount to use ShopeePay for rewards. User interface is simple and friendly. Smooth browsing and hope to see more improvement and great benefit for consumers. Keep it up guys!,mani lower price platform allow easili top up time amount use shopeepay reward user interfac simpl friendli smooth brows hope see improv great benefit consum keep guy,4,0
Was a very good shopping site. Recently their marketing kept sending discount voucher which they term non valid even upon receiving them. Why do they keep reminding me to use the voucher when its not valid when applied? Even today received encouragement to use before 23.59 via email. Upon application it is termed as non valid. When I called. They said campaign over. What a load of rubbish. Then they should not have sent the reminder.,good shop site recent market kept send discount voucher term non valid even upon receiv keep remind use voucher valid appli even today receiv encourag use via email upon applic term non valid call said campaign load rubbish sent remind,1,1
very Good. Things are deliverd very quickly. I find it a bit disapointing when i receive the wrong product. Otherwise shopee it really nice to do online shopping.,good thing deliverd quickli find bit disapoint receiv wrong product otherwis realli nice onlin shop,4,0
"I can't view live sale for a few channels. I have reinstalled the app, yet it's still the same.",view live sale channel reinstal yet still,4,0
I buy almost everything on here! u need to search and go thru almost all your desired product listing for better deals! Most of the time the design is not so nice and not so good quality but it cost more than the nicer design and good quality ones.. WELL..... OVERALL ITS CHEAP CHEAP CHEAAAAPP!! CHEAPER THAN YOU BUY IN STORE!!! JUST HAVE TO WAIT FOR DELIVERY.. KACHING KACHING!!!!,buy almost everyth u need search go thru almost desir product list better deal time design nice good qualiti cost nicer design good qualiti one well overal cheap cheap cheaaaapp cheaper buy store wait deliveri kach kach,5,0
This app is really great I have bought several products on the platform but I haven't been scammed or got the wrong thing from the seller (which I have on other platforms. I love this app because of all the good deals and the fact that you get up to 10% cashback! Really recommended for online shoppers!,realli great bought sever product platform scam got wrong thing platform love good deal fact get cashback realli recommend onlin shopper,5,0
"Shoppe is bloated at 80MB n is getting more cluttered. When launched, it sucks lots of bandwidth 1Mbps. Browsing products drains battery fast as the phone gets hotter by the min!! Can have Dark Mode please?",shopp bloat mb n get clutter launch suck lot bandwidth mbp brows product drain batteri fast phone get hotter min dark mode pleas,3,1
"Been using Shopee for years but it's time to stop now. Had worst experience with their designated delivery uncle from J&T. This uncle never failed to insist receipient to hold the parcel for his photo. Despite of peak covid, never practice social distancing and not his 1st time delivering. He would threatened to return back the parcel to HQ if receipient do not want to stand close and hold the item for his photo. My last straw is when he just throw in parcel thru gate after I clicked received.",use year time stop worst experi design deliveri uncl j uncl never fail insist receipi hold parcel photo despit peak covid never practic social distanc st time deliv would threaten return back parcel hq receipi want stand close hold photo last straw throw parcel thru gate click receiv,1,1
"Download the app but yet to use. See? Doesn't seem fair right? 90% of user reviews either don't address the product quality at all, or are rating the deliveries! Shopee is not doing much to change that. We should be given longer grace period to leave reviews, and should also be able to edit them anytime",download yet use see seem fair right user review either address product qualiti rate deliveri much chang given longer grace period leav review also abl edit anytim,2,1
No point calling and chasing shopee express for my item. seems the issue still doesnt resolve for more then 3 days. kept waiting and no delivery attempt has been done. refund also need to wait for investigation. if possible i would put no stars at all.,point call chase express seem issu still doesnt resolv day kept wait deliveri attempt done refund also need wait investig possibl would put star,1,1
"I think it's a good idea to a ""view shop"" icon near between the heart and ratings star icon so that buyers will easily access to the shop instead of clicking the item and scrolling down (that would be time wasting).",think good idea view shop icon near heart rate star icon buyer easili access shop instead click scroll would time wast,5,0
"Oops, something went wrong. We are looking into it. Took 24 hour, i still cannot access to ship / to receive item. Too bad. Update: clear the app data will fix the issue",oop someth went wrong look took hour still cannot access ship receiv updat clear data fix issu,1,1
Easier to access for puurchase but there are once I've encounter being unhappy with my purchased. Shopee staff who replied my email sounds not going to help me. The rest of the purchased. I'm happy,easier access puurchas encount unhappi purchas staff repli email sound go help rest purchas happi,4,0
Awesome app! I've made some great purchases and the sellers/other staff online are very patient but just a little too slow when it comes to dealing with a few damages here and there.,awesom made great purchas staff onlin patient littl slow come deal damag,4,0
The system works really well. Easy to get in contact with suppliers. Detailed info about delivery status. Generally fast delivery also from abroad. So far all packages received were in good condition. Release of payment only after receipt of goods is an extra warranty.,system work realli well easi get contact supplier detail info deliveri statu gener fast deliveri also abroad far packag receiv good condit releas payment receipt good extra warranti,5,0
I think it's a very cheap tactic to only allow me to customize email setting using the app. I only installed the app to cancel all email notifications from Shopee. Why isn't there an option to do that on the website itself?,think cheap tactic allow custom email set use instal cancel email notif option websit,2,1
"This is my first order thru shopee, there are some mistake made by seller. By contacting shopee they help solve my problem ty I recieved another 3 items, all as per order, for online purchase, seller honesty and understanding of product plays important part to avoid return and refund.",first order thru mistak made contact help solv problem ty reciev anoth per order onlin purchas honesti understand product play import part avoid return refund,4,0
"So ANNOYED! I select items to cart out then the system unselects them when i try to apply vouchers. When i finally do that, the card I added beforehand disappeared & i have to readd it. Now vouchers fully claimed & promo for my card fully redeemed! App keeps freezing, i can't select anything or page remains blank. Set reminder for next round of vouchers to claim but notification appears immediately instead of correct time. Getting worse, now everything in cart is auto selected & cannot unselect!",annoy select cart system unselect tri appli voucher final card ad beforehand disappear readd voucher fulli claim promo card fulli redeem keep freez select anyth page remain blank set remind next round voucher claim notif appear immedi instead correct time get wors everyth cart auto select cannot unselect,1,1
Friendly apps for purchases. Fast response and many items available.,friendli app purchas fast respons mani avail,4,0
This is my first time shopping online. I wish shopee can place more effort to protect the buyers. As we buyer are separated in great distance... any poor service and poor services.... we can be quite weak and helpless in getting back our claims. Online shopping can be quite a bet... unlike actual on site shopping... we cannot choose... the goods deliver really depend on the seller's good services and honesty. Do not get me wrong... at the moment shopee is doing great and protect my interest. Thk,first time shop onlin wish place effort protect buyer buyer separ great distanc poor servic poor servic quit weak helpless get back claim onlin shop quit bet unlik actual site shop cannot choos good deliv realli depend good servic honesti get wrong moment great protect interest thk,5,0
"I have multiple account that i never registered with shopee. I guess the shopee apps security not safe enough to protect the users. I try to contact the customer service through email but still my account keep changing with other username that i never registered. For shopee, kindly help me to settle this matters.",multipl account never regist guess app secur safe enough protect user tri contact custom servic email still account keep chang usernam never regist kindli help settl matter,1,1
So far so good. Products and delivery has been smooth.,far good product deliveri smooth,5,0
Enjoyable and plaesant,enjoy plaesant,4,0
Why do you make it soooooo difficult to choose between credit cards to pay or delete? And whats with the app not working unless we update proactively? Ie theres no notification msg to update leaving me with wasted time wondering why stuff doesnt work. Fire your UI team. They are incompetent. What a crappy user experience.,make soooooo difficult choos credit card pay delet what work unless updat proactiv ie there notif msg updat leav wast time wonder stuff doesnt work fire ui team incompet crappi user experi,1,1
Good app! However the logistic part need to improve! I ordered an item And it was marked delivered on the app ..While i did not receive the item. I contacted shopee and was told that the person has delivered to my house with a picture of my front door. But where Was the parcel? The delivery personnel could have left it outside my door. And someone could have took it.! Shopee believed the logistic and cancelled my refund request. Totally don't trust their customers at all.! Dissapointed..,good howev logist part need improv order mark deliv receiv contact told person deliv hous pictur front door parcel deliveri personnel could left outsid door someon could took believ logist cancel refund request total trust custom dissapoint,2,1
"Shopping at Shoppee is great. It has a lot of discounts and promotions. I am deducting one star because of the GUI. I have experienced lagged recently. When I open the app sometimes, products won't load.",shop great lot discount promot deduct one star gui experienc lag recent open sometim product load,4,0
"I used to order from Taobao and carousell but no longer after i found shopee. Shipping fee is cheap and fast even during covid 19 situation. Item are good quality. I'm new to shopee but i have spend a few hundreds with in 3 wks. Very excited. Just received my mini sewing machine, kitchen utensils & baking trays. I am very happy customer. Highly recommended 👍 😁",use order taobao carousel longer found ship fee cheap fast even covid situat good qualiti new spend hundr wk excit receiv mini sew machin kitchen utensil bake tray happi custom highli recommend,5,0
"Nice shopping app, except that I dislike using ShopeePay which is the only accepted payment method to use vouchers..",nice shop except dislik use shopeepay accept payment method use voucher,3,1
"Hi shopee, the app keeps auto shutdown after opening. This happens after the update. Can you check",hi keep auto shutdown open happen updat check,2,1
"I can no longer collect coins from daily check in, what happened??? I have already updated the app but still the same... And it's very laggy when browsing through products. This used to be my favorite online shopping platform but now it's getting too frustrating to enjoy. Please update your app sooner...",longer collect coin daili check happen alreadi updat still laggi brows product use favorit onlin shop platform get frustrat enjoy pleas updat sooner,2,1
"Some vouchers didn't indicate for shopee pay only but when one try to redeem them, it then indicate to activate shopee pay to redeem. Lack of transparency. Also no more free delivery or free delivery voucher for non shopee pay users. So all these free shipping indicated on seller site would not be applicable to non shopee pay user. Totally misleading and not transparent. Was much better years back.",voucher indic pay one tri redeem indic activ pay redeem lack transpar also free deliveri free deliveri voucher non pay user free ship indic site would applic non pay user total mislead transpar much better year back,1,1
"Very bad service. Did not receive my item on time and when contact the seller, he unprofessionally ask me check myself with the local courier and same for the customer service, told need to check with other department and ask me to wait 3 workings days. This is not 1st time they never update delivery status properly especially for standard express. Really poor and unprofessional service",servic receiv time contact unprofession ask check local courier custom servic told need check depart ask wait work day st time never updat deliveri statu properli especi standard express realli poor unprofession servic,1,1
"Vouchers are all restricted to shopeepay only. The platform went from great to terrible. Not to mention, now they are charging shipping fee on everything. It used to be free or if you want it to be fast you pay extra for it which was reasonable. Now I pay for all shipment fees yet the sellers ship them out the very last minute??? And now the standard fee is $1, not even a few months ago it was 0.60¢ for standard, and $1 express PER VENDOR.",voucher restrict shopeepay platform went great terribl mention charg ship fee everyth use free want fast pay extra reason pay shipment fee yet ship last minut standard fee even month ago standard express per vendor,1,1
Getting lousy & annoying. All other shopping apps don't have these issues. Frequently refreshes or restarting the pages while you are in the games. This moment this music & after refreshing it plays another music. Pls test it 1st before you release the new function.,get lousi annoy shop app issu frequent refresh restart page game moment music refresh play anoth music pl test st releas new function,2,1
"Seems nowadays the self collection points is so far away from our place. We have 4 collection points in our area but many time, it will only recommended place to collect are so far away. This is why we stop purchasing some items while we are in need and rather shift to buy it from other places. I hope Shoppee will strongly look into this matter. No point keeps replying to our E-mail but same problems keeps coming back, ACTIONs is always better than words. From bad to worse . Very...disappointed",seem nowaday self collect point far away place collect point area mani time recommend place collect far away stop purchas need rather shift buy place hope strongli look matter point keep repli e mail problem keep come back action alway better word wors disappoint,1,1
"I am new user but cannot claim New User Vouçher. When contacting Shopee on 25 Sept 2022, 0956am, I was #1 in queue. But noone pick up the message to attend to me. I think they closing down soon with this type of services and people. Update: Finally got to Shaswene. But the message kept closing and dont allow to reconnect with staff. Staff also gave weird reply which did not address the question asked.",new user cannot claim new user vou contact sept queue noon pick messag attend think close soon type servic peopl updat final got shaswen messag kept close dont allow reconnect staff staff also gave weird repli address question ask,1,1
"So many random functionalities that the app lags like no body business. I just want to do my shopping yet can't even load the images and page. I'm on Samsung S10 and a 20mb/s WiFi. please improve your app, otherwise its so frustrating that I'd just visit Lazada instead",mani random function lag like bodi busi want shop yet even load imag page samsung mb wifi pleas improv otherwis frustrat visit lazada instead,1,1
"Everything was good until a day or two days ago when the app messed up. Now I cannot view my cart, make purchases or view my ""to receive"" orders. Today, I uninstalled and installed the app and it's seems to be working as per normal.",everyth good day two day ago mess cannot view cart make purchas view receiv order today uninstal instal seem work per normal,1,1
Excellent apps than other online shopping. Only downside is that some items are described in Chinese. Should be in the Universal language. Getting better by the day.,excel app onlin shop downsid describ chines univers languag get better day,5,0
Very easy to buy.. Good response also. Like it so much.,easi buy good respons also like much,5,0
"Terrible payment. For a long time I have been using credit/debit payment without any glitch. Today, I kept being denied of my payment. Error message: Oops payment failed. Did all the steps given by the help desk but still no go. Very annoying to face this issue. On another note, why can't you add more payment methods like PayPal instead of just IBG?",terribl payment long time use credit debit payment without glitch today kept deni payment error messag oop payment fail step given help desk still go annoy face issu anoth note add payment method like paypal instead ibg,2,1
Shopee's shipping via shopee express is terrible. I made 4 separate purchases on 4 separate days and paid 4 times for shipping. My items were already in country for 4 days indicating out for delivery. Reasons for delay is because shopee express was waiting for 1 more item so that items can all be delivered at once. Their convenience at our expense. Not forgetting charging us 4 times for consolidated shipping. Why not deliver my full year worth of orders during christmas at one go then?,ship via express terribl made separ purchas separ day paid time ship alreadi countri day indic deliveri reason delay express wait deliv conveni expens forget charg us time consolid ship deliv full year worth order christma one go,1,1
"Edited 1 🌟 lower. Pet game is always stuck at loading 99%. I kept log in log out, uninstall and install. Frustrating!",edit lower pet game alway stuck load kept log log uninstal instal frustrat,4,0
"You know, the only reason i installed shopee was because of how bad lazada was. The delivery, service, so on and forth. And to be honest, i expected same from shopee, but no! Shopee surprised me! It had great service, features, discounts and i could go on forever! The delivery service was also amazing and cheap as well! Great shopping app!",know reason instal lazada deliveri servic forth honest expect surpris great servic featur discount could go forev deliveri servic also amaz cheap well great shop,5,0
"S-Mart sucks! DO NOT ORDER FROM THEM! I ordered on 27 Apr, expected to receive 3 May, but nothing received till now, 13 May. When i chat with Live Agent, instead of checking 1st, they suggest i click refund. But i want the items! Said they will check, but no update few days later. When i asked again, they tell me to refund again without giving reason. Guy from J&T Express also called & asked, gave them details and now no reply at all despite me repeatedly asking them for update over 1 week.",mart suck order order apr expect receiv may noth receiv till may chat live agent instead check st suggest click refund want said check updat day later ask tell refund without give reason guy j express also call ask gave detail repli despit repeatedli ask updat week,1,1
Recent update has bugs which prevents users from accessing the 'shopee coins' tab. Pls fix. Thanks.,recent updat bug prevent user access coin tab pl fix thank,3,1
Payment fail and use other payment method...why can't use credit card?,payment fail use payment method use credit card,3,1
Have refund issue which takes few months to settle and till date not resolved.,refund issu take month settl till date resolv,3,1
Stressful experience.Been using shopee platform more than any other online shops for years. Its getting slower and slower. Too much lag,stress experi use platform onlin shop year get slower slower much lag,2,1
"It would be much better if u guys start to use ""Rely"" as one of the payment option to garner more customers.",would much better u guy start use reli one payment option garner custom,4,0
"Shopee shows you repetitive items from the same shop which makes it so troublesome to shop for items. Plus, the search engine sucks and it is generally terrible. Full of bugs as well.",show repetit shop make troublesom shop plu search engin suck gener terribl full bug well,1,1
"Provides everything u need from daily items to food to equipment, and within your reach. The delivery are fast and prices of items are reasonable. Definitely worth to download. I am definitely going to continue use it. 👍🏻",provid everyth u need daili food equip within reach deliveri fast price reason definit worth download definit go continu use,5,0
"THANKS, I really appreciate the obnoxious and uncomfortable advertising, the rampant unregulated drop-shipping, as well as your continued enabling of extremely unsustainable shopping practices!",thank realli appreci obnoxi uncomfort advertis rampant unregul drop ship well continu enabl extrem unsustain shop practic,1,1
"There is something wrong after the last update. The top bar of the app screen goes all the way to the top now till whenever I touch the chat or settings buttons, my phone settings open.",someth wrong last updat top bar screen goe way top till whenev touch chat set button phone set open,2,1
Excellent I hope don't happen again for the payment method,excel hope happen payment method,5,0
I wish there is a feature to manually block/blacklist sellers that sell fake items. Especially because shopee does very little to ban them.,wish featur manual block blacklist sell fake especi littl ban,3,1
"I used to love Shopee and bought everything I needed from there. Lately, however, the delivery of goods has been very bad. For many items, I never received them and had to chase for a refund. The sellers said they handed over the items to Shopee for delivery long ago but somehow not delivered. No news from Shopee so I ask for refund but have to chase for the refund. I have stopped using Shopee for this reason",use love bought everyth need late howev deliveri good mani never receiv chase refund said hand deliveri long ago somehow deliv news ask refund chase refund stop use reason,1,1
"why is ""categories"" removed from Prodict Details please? it seems to be due to some update in recent 2 months. the info helps to decide whether we should get a shopee coupon for a specific category, e.g. home and living, or sports and outdoors. may not be easy to guess category from item desc sometimes... also, on my android phone, cart loading is a lot slower than my (older) ipad.",categori remov prodict detail pleas seem due updat recent month info help decid whether get coupon specif categori e g home live sport outdoor may easi guess categori desc sometim also android phone cart load lot slower older ipad,1,1
I can easy to buy many in shopee app.so I like this app.,easi buy mani like,4,0
Can't even reach the customer service for orders not delivered and still stay its been delivered. Will wait for the replies cos it took 32 mins wait to reach the customer service team and an hour for the online chat therefore its been a pain and 2 to 3 days wait for an answer is too long for a tech savy times.,even reach custom servic order deliv still stay deliv wait repli co took min wait reach custom servic team hour onlin chat therefor pain day wait answer long tech savi time,1,1
Shoppee made my experience of buying so enjoyable. So far i am happy of all my purchase.,made experi buy enjoy far happi purchas,5,0
"I can't seem to press on the thing I want to purchase and it keeps saying ""Oops something went wrong. We are looking into it."" What's up, Shopee? It started as of only yesterday. I can see the items on my screen but everytime I press on it, it's sending me that notification. Please clarify and get back to me as soon as possible as I need to get something urgently for the sake of my family member. This is the first time I've encountered this issue.",seem press thing want purchas keep say oop someth went wrong look start yesterday see screen everytim press send notif pleas clarifi get back soon possibl need get someth urgent sake famili member first time encount issu,1,1
Too many notifications. Very annoying. Just refuses to let you delete account and details even though the sales transaction was completed. Would never use again.,mani notif annoy refus let delet account detail even though sale transact complet would never use,2,1
"Products cheap, fast delivery and the apps easy to use.",product cheap fast deliveri app easi use,4,0
Worst online shopping experience ever! I didn't get anything from the seller yet the platform refused to refund my 700 dollars. Terrible!,worst onlin shop experi ever get anyth yet platform refus refund dollar terribl,1,1
The user interface of this application is very messy. The refund resolution by shopee is very tedious. And they are very careless. Sellers are allowed to dispute refund just to bargain with buyer. Even though the goods are defect goods shoppee customer service resolved in favour of seller. Very bad experience.,user interfac applic messi refund resolut tediou careless allow disput refund bargain buyer even though good defect good custom servic resolv favour experi,1,1
"Ridiculously banned my account and access to the app after i have reported that my account was hacked. They gave no response or solutions to my account issues, they ignored my concerns. I am just a buyer and almost reaching gold member and this is how their customer service. Before gotten silver member have no issues, after silver member my account was used by another user then now banned all my accounts and device. Till date developer still can't rectify and resolve the matter.",ridicul ban account access report account hack gave respons solut account issu ignor concern buyer almost reach gold member custom servic gotten silver member issu silver member account use anoth user ban account devic till date develop still rectifi resolv matter,1,1
"After using Shoppee platform , online orders are efficient, any refund, ordering and receiving issues are settled promptly just by calling up Customer Service, only worry is the Credit Card information details stored in system hopefully is fully protected.",use platform onlin order effici refund order receiv issu settl promptli call custom servic worri credit card inform detail store system hope fulli protect,4,0
Not bad app... But some of the sellers did not give the items that I ordered... There are good and bad about the sellers In this app..,give order good,4,0
"The app is workng fine. The issue i had was the shopee pet game. 1) Half the time, it will get stuck at 99% loading. 2) 20% of the time, it will not be able to connect to server after you completeed the music minigame and have to replay the minigame again. 3) Worst of all is the soccer minigame. Even if the goalie is at one end of the goal, it can still block the ball at the other end, making it totally based on luck. Sometimes, it doesn't even need to touch the ball to block it.",workng fine issu pet game half time get stuck load time abl connect server complete music minigam replay minigam worst soccer minigam even goali one end goal still block ball end make total base luck sometim even need touch ball block,1,1
"all good,esp the release payment, very powerful step against scams. however if possible please make compulsory for seller to register physical address, so that we can find their after sale service, unless shoppee wants to take this responsibility.",good esp releas payment power step scam howev possibl pleas make compulsori regist physic address find sale servic unless want take respons,4,0
"I find that some of the items on shopee are really value for money, but you have to choose wisely. Only issue I have is with the delivery company who deliver the items to the home. Really the worst deliver company i experienced, maybe because they are cheap or paid low for each delivery. They simply just place the item at your door step regardless if anyone is at home to receive. It's due to the delivery company which I place 4 star.",find realli valu money choos wise issu deliveri compani deliv home realli worst deliv compani experienc mayb cheap paid low deliveri simpli place door step regardless anyon home receiv due deliveri compani place star,4,0
After buying product the Rating system have issue. When trying to rate the product and shop can't add both photo and videos.,buy product rate system issu tri rate product shop add photo video,3,1
"Some seller not responsive thus had a hard time track my parcel, some item came in wrong colour as order, and a few seller shown clothing as adults but came as kids size, so purchasing is depending on luck. Overall experience is okay. And somehow my particular wasn't protected been received lots of call saying my parcel was been held etc as scam called. Shopee was very lag after a few minutes view. Overall experience was okay. Need more improvements.",respons thu hard time track parcel came wrong colour order shown cloth adult came kid size purchas depend luck overal experi okay somehow particular protect receiv lot call say parcel held etc scam call lag minut view overal experi okay need improv,3,1
The platform works better than Qoo10 and allows you to view a detailed breakdown of the shipping status. Huge variety of products offered. I like the occasional rebates and promotions that sellers give.,platform work better qoo allow view detail breakdown ship statu huge varieti product offer like occasion rebat promot give,5,0
"Very customer oriented app. Easy to use and efficient. Prices there are always competitive if not cheaper, but with the many discount voucher given and free coins which can be redeemed for nxt purchase , this is one of the place to go for online purchase.",custom orient easi use effici price alway competit cheaper mani discount voucher given free coin redeem nxt purchas one place go onlin purchas,5,0
"Shopping that comes with some fun games to play with. Much as I like to use the mobile app to be able to shop and play anywhere and/or anytime, shopping and playing via the desktop is still by far better as the screen and fonts are bigger and the layout is more is easier to see. Hope Shopee will make all features and functions that are on the mobile available on the desktop as well.",shop come fun game play much like use mobil abl shop play anywher anytim shop play via desktop still far better screen font bigger layout easier see hope make featur function mobil avail desktop well,5,0
"Dinning Drinks (Food) not Displayed after paid? Also, each seller has their own icon, but all turned into ""DUMB ORANGE handphone"" to ALL sellers? It made difficult to find what orders by sellers. Worse, duplication of same orders found in Notifications, Notification/Wallet Updates, ShopeePay and My Vouchers; is madness to see huge errors to match or pair their mistakes! Reported to Shopee.sg, they did NOT acknowledge my emails and has not rectify their computer system data errors, etc...",din drink food display paid also icon turn dumb orang handphon made difficult find order wors duplic order found notif notif wallet updat shopeepay voucher mad see huge error match pair mistak report sg acknowledg email rectifi comput system data error etc,1,1
"Really really really bad shopping experience out of all the platform ive used. I'll steer clear away from this unhelpful, the design is unintuitive to customers needs and the customer service hotline takes ages to get and even then, you might not get answers.",realli realli realli shop experi platform ive use steer clear away unhelp design unintuit custom need custom servic hotlin take age get even might get answer,1,1
"Might find some great deals during flash deal. However, the drink at shopee farm are getting to plant :(",might find great deal flash deal howev drink farm get plant,4,0
Fast delivery. Received purchases in good condition!,fast deliveri receiv purchas good condit,5,0
Should enable pick locker collection for most items for convenience. Most items dont have this option causing me to turn to lazada sometimes.,enabl pick locker collect conveni dont option caus turn lazada sometim,3,1
